naziv,ISO oznaka drzave,puni naziv,datum ulaska u EU,povrsina u km2,broj stanovnika,glavni grad,himna,drzavni vrh,ISO oznaka jezika,jezik,ISO oznaka valute,valuta
Austrija,AUT,Republika Austrija,1995-01-01 00:00:00,83879,8978929,Beč,"Zemljo brda, zemljo na rijekama",predsjednik/ica Alexander Van der Bellen,de,njemački,EUR,euro
Belgija,BEL,Kraljevina Belgija,1958-01-01 00:00:00,30528,11631136,Bruxelles,Pjesma o Brabantu,kralj/ica Filip Leopold Lodewijk Maria,nl,nizozemski,EUR,euro
Belgija,BEL,Kraljevina Belgija,1958-01-01 00:00:00,30528,11631136,Bruxelles,Pjesma o Brabantu,kralj/ica Filip Leopold Lodewijk Maria,fr,francuski,EUR,euro
Belgija,BEL,Kraljevina Belgija,1958-01-01 00:00:00,30528,11631136,Bruxelles,Pjesma o Brabantu,kralj/ica Filip Leopold Lodewijk Maria,de,njemački,EUR,euro
Bugarska,BGR,Republika Bugarska,2007-01-01 00:00:00,110370,6838937,Sofija,Mila domovino,predsjednik/ica Rumen Radev,bg,bugarski,BGN,bugarski lev
Češka,CZE,Češka Republika,2004-05-01 00:00:00,78868,10516707,Prag,Gdje moj je dom,predsjednik/ica Miloš Zeman,cs,češki,CZK,češka kruna
Cipar,CYP,Republika Cipar,2004-05-01 00:00:00,9251,904705,Nikozija,Himna slobodi,predsjednik/ica Nikos Anastasiades,el,grčki,EUR,euro
Danska,DNK,Kraljevina Danska,1973-01-01 00:00:00,42924,5873420,Kopenhagen,Ima jedna divna zemlja,kralj/ica Margareta II.,da,danski,DKK,danska kruna
Estonija,EST,Republika Estonija,2004-05-01 00:00:00,45227,1331796,Tallinn,"Moja domovina, moja sreća i radost",predsjednik/ica Kersti Kaljulaid,et,estonski,EUR,euro
Finska,FIN,Republika Finska,1995-01-01 00:00:00,338440,5548241,Helsinki,Naša zemlja,predsjednik/ica Sauli Niinistö,fi,finski,EUR,euro
Finska,FIN,Republika Finska,1995-01-01 00:00:00,338440,5548241,Helsinki,Naša zemlja,predsjednik/ica Sauli Niinistö,sv,švedski,EUR,euro
Francuska,FRA,Francuska Republika,1958-01-01 00:00:00,633186,67842582,Pariz,Marseljeza,predsjednik/ica Emmanuel Macron,fr,francuski,EUR,euro
Grčka,GRC,Helenska Republika,1981-01-01 00:00:00,132049,10603810,Atena,Himna slobodi,predsjednik/ica Katerina Sakellaropoulou,el,grčki,EUR,euro
Hrvatska,HRV,Republika Hrvatska,2013-07-01 00:00:00,56594,3879074,Zagreb,Lijepa naša domovino,predsjednik/ica Zoran Milanović,hr,hrvatski,HRK,hrvatska kuna
Irska,IRL,Irska,1973-01-01 00:00:00,69797,5060005,Dublin,Vojnikova pjesma,predsjednik/ica Michael Daniel Higgins,ga,irski,EUR,euro
Irska,IRL,Irska,1973-01-01 00:00:00,69797,5060005,Dublin,Vojnikova pjesma,predsjednik/ica Michael Daniel Higgins,en,engleski,EUR,euro
Italija,ITA,Talijanska Republika,1958-01-01 00:00:00,302073,58983122,Rim,Pjev Talijana,predsjednik/ica Sergio Mattarella,it,talijanski,EUR,euro
Latvija,LVA,Republika Latvija,2004-05-01 00:00:00,64573,1875757,Riga,"Bože, blagoslovi Latviju!",predsjednik/ica Egils Levits,lv,latvijski,EUR,euro
Litva,LTU,Republika Litva,2004-05-01 00:00:00,65286,2805998,Vilnius,Nacionalna himna,predsjednik/ica Gitanas Nausėda,lt,litavski,EUR,euro
Luksemburg,LUX,Veliko Vojvodstvo Luksemburg,1958-01-01 00:00:00,2586,645397,Luxembourg,Naša domovina,veliki vojvoda/ica Henri Luksemburški,fr,francuski,EUR,euro
Luksemburg,LUX,Veliko Vojvodstvo Luksemburg,1958-01-01 00:00:00,2586,645397,Luxembourg,Naša domovina,veliki vojvoda/ica Henri Luksemburški,de,njemački,EUR,euro
Mađarska,HUN,Mađarska,2004-05-01 00:00:00,93011,9689010,Budimpešta,"Bože, blagoslovi Mađare",predsjednik/ica Katalin Novák,hu,mađarski,HUF,mađarska forinta
Malta,MLT,Republika Malta,2004-05-01 00:00:00,315.4,520971,Valletta,Malteška himna,predsjednik/ica George Vella,mt,malteški,EUR,euro
Malta,MLT,Republika Malta,2004-05-01 00:00:00,315.4,520971,Valletta,Malteška himna,predsjednik/ica George Vella,en,engleski,EUR,euro
Nizozemska,NLD,Nizozemska,1958-01-01 00:00:00,41540,17590672,Amsterdam,Wilhelmus,kralj/ica Willem-Alexander,nl,nizozemski,EUR,euro
Njemačka,DEU,Savezna Republika Njemačka,1958-01-01 00:00:00,357376,83237124,Berlin,Pjesma Nijemaca,predsjednik/ica Frank-Walter Steinmeier,de,njemački,EUR,euro
Poljska,POL,Republika Poljska,2004-05-01 00:00:00,312679,37654247,Varšava,Mazurek Dąbrowskiego,predsjednik/ica Andrzej Duda,pl,poljski,PLN,poljski zloti
Portugal,PRT,Portugalska Republika,1986-01-01 00:00:00,92226,10352042,Lisabon,Portugalska,predsjednik/ica Marcelo Rebelo de Sousa,pt,portugalski,EUR,euro
Rumunjska,ROU,Rumunjska,2007-01-01 00:00:00,238390,19038098,Bukurešt,"Probudite se, Rumunji",predsjednik/ica Klaus Iohannis,ro,rumunjski,RON,rumunjski leu
Slovačka,SVK,Slovačka Republika,2004-05-01 00:00:00,49035,5434712,Bratislava,Nad Tatrama sijeva,predsjednik/ica Zuzana Čaputová,sk,slovački,EUR,euro
Slovenija,SVN,Republika Slovenija,2004-05-01 00:00:00,20273,2107180,Ljubljana,Zdravljica,predsjednik/ica Borut Pahor,sl,slovenski,EUR,euro
Španjolska,ESP,Kraljevina Španjolska,1986-01-01 00:00:00,505944,47432805,Madrid,Kraljevski marš,kralj/ica Felipe VI.,es,španjolski,EUR,euro
Švedska,SWE,Kraljevina Švedska,1995-01-01 00:00:00,438574,10452326,Stockholm,"Ti stari, ti slobodni",kralj/ica Carl XVI. Gustaf,sv,švedski,SEK,švedska kruna
